"","Year","Month","Day","Open","High","Low","Close","AdjClose","Volume","TRain"
"132","2019","07","11",26950.160156,27088.449219,26916.320313,27088.080078,27088.080078,252300000,4257
"133","2019","07","12",27139.490234,27333.789063,27135.449219,27332.029297,27332.029297,248390000,2655
"134","2019","07","15",27364.689453,27364.689453,27294.169922,27359.160156,27359.160156,199730000,3778
"135","2019","07","16",27349.320313,27398.679688,27290.240234,27335.630859,27335.630859,2.26e+08,2600
"136","2019","07","17",27320.910156,27343.060547,27218.380859,27219.849609,27219.849609,193930000,3578
"137","2019","07","18",27191.980469,27266.810547,27068.789063,27222.970703,27222.970703,216070000,2384
"138","2019","07","19",27246.380859,27342.960938,27145.779297,27154.199219,27154.199219,287690000,2891
"139","2019","07","22",27174.179688,27227.769531,27088.900391,27171.900391,27171.900391,216310000,2490
"140","2019","07","23",27231.859375,27368.810547,27204.580078,27349.189453,27349.189453,248850000,2773
"141","2019","07","24",27262.240234,27291.039063,27191.119141,27269.970703,27269.970703,244320000,3057
"142","2019","07","25",27247.390625,27298.429688,27062.480469,27140.980469,27140.980469,241420000,2931
"143","2019","07","26",27166,27213.699219,27123.25,27192.449219,27192.449219,233650000,1207
"144","2019","07","29",27192.240234,27275.849609,27178.060547,27221.349609,27221.349609,250850000,1686
"145","2019","07","30",27145.390625,27224.359375,27069.859375,27198.019531,27198.019531,293250000,3238
"146","2019","07","31",27244.669922,27281.650391,26719.599609,26864.269531,26864.269531,385150000,752
"147","2019","08","01",26879.859375,27175.589844,26548.710938,26583.419922,26583.419922,386320000,5411
"148","2019","08","02",26528.660156,26570.019531,26249.220703,26485.009766,26485.009766,327640000,4357
"149","2019","08","05",26259.230469,26259.230469,25523.380859,25717.740234,25717.740234,422240000,3828
"150","2019","08","06",25810.619141,26038.679688,25710.869141,26029.519531,26029.519531,318160000,1792
"151","2019","08","07",25814.220703,26073.210938,25440.390625,26007.070313,26007.070313,344790000,3673
"152","2019","08","08",26086.519531,26383.609375,26038.099609,26378.189453,26378.189453,282530000,2684
"153","2019","08","09",26337.089844,26413.359375,26097.640625,26287.439453,26287.439453,240260000,3722
"154","2019","08","12",26169.910156,26178.949219,25824.939453,25896.439453,25896.439453,199390000,1859
"155","2019","08","13",25888.880859,26426.970703,25833.25,26279.910156,26279.910156,308900000,6549
"156","2019","08","14",26035.080078,26035.080078,25471.589844,25479.419922,25479.419922,352250000,6649
"157","2019","08","15",25514.25,25639.689453,25339.599609,25579.390625,25579.390625,332600000,5138
